tf,n_target,n_overlap,enrich_p,enrich_FDR,rho,FDR,max_abs_rho,validated_in_bulk
TSHZ2,547,18,1.78871611505159e-06,6.5700918841318e-05,0.116046371367202,3.01018949640316e-05,0.238155996691833,FALSE
PRDM16,513,17,3.18655416306335e-06,0.000112709600952796,0.177039114156337,1.19069468068616e-10,0.280010266607216,TRUE
HMGN3,475,16,5.096266944111e-06,0.000173819104700929,0.217783225289874,1.56725712377051e-15,0.309019475590449,FALSE
ZNF584,230,11,6.4383271830021e-06,0.000212020774474724,0.193108524775831,2.28949070169069e-12,0.264397365863501,FALSE
FOXJ3,1342,29,6.90457916786268e-06,0.000219795770176962,0.17628553330053,1.36599031887783e-10,0.283180109557535,FALSE
YBX3,666,19,7.24482898983247e-06,0.000223187473719033,-0.163229369876722,2.91115080218497e-09,0.169279483657422,FALSE
PURB,435,15,7.66931450945895e-06,0.000228881104891666,0.176404939163651,1.33488668588135e-10,0.246612406973473,FALSE
ARNTL2,684,19,1.05414529097351e-05,0.000305063258448394,0.168094507918636,9.41889030084726e-10,0.18656631517741,FALSE
ZNF175,450,15,1.14580228826567e-05,0.000321835642733444,0.20643660974968,5.47910458048915e-14,0.263108812185114,FALSE
ZNF518B,250,11,1.41084856500861e-05,0.000384960108452348,0.169374775541351,6.85643444131151e-10,0.30737932450287,FALSE
FOXL1,645,18,1.7064237925072e-05,0.000452676311623437,0.19496507663693,1.39107234121414e-12,0.27031370327225,FALSE
ZBTB38,538,16,2.37319821624827e-05,0.000612541701761378,0.179342921652322,7.0300912852858e-11,0.257087996862413,FALSE
TCF7L1,1370,28,2.76961010206688e-05,0.000696046749335229,0.196829854516633,8.51543825081473e-13,0.34365859812945,TRUE
ZBTB21,376,13,3.04929569715555e-05,0.000743534991562419,0.176749723692331,1.25083186573517e-10,0.243448977960472,FALSE
ZNF800,740,19,3.11428268717244e-05,0.000743534991562419,0.170923969477895,4.92649994849584e-10,0.260603138280757,FALSE
NHLH1,563,16,4.09108368128135e-05,0.000952923150152119,0.204937112202585,8.59735196655334e-14,0.254125064109635,FALSE
PRDM14,189,9,4.66902866920984e-05,0.0010616481854989,0.170403807340462,5.41048089343406e-10,0.321563522035482,FALSE
NFATC4,1117,24,4.99911359407626e-05,0.00111026825170763,0.116564005161254,2.78648302732738e-05,0.263070474985516,FALSE
HIVEP2,409,13,7.19260269479347e-05,0.00156112172125631,0.211457171666909,1.21129151419317e-14,0.254685416332553,FALSE
TGIF1,1000,22,7.43832546056457e-05,0.00157857795885315,0.179131826742011,7.29001341715073e-11,0.218508452587678,FALSE
MAFK,50,5,7.63637622537115e-05,0.00158537810765858,0.170396831645032,5.41048089343406e-10,0.206112379980443,FALSE
ZHX2,474,14,8.31434703355519e-05,0.00168940455681813,-0.153379410959449,2.58821500051735e-08,0.282918819670589,FALSE
GMEB2,608,16,0.000100663985324757,0.00197325504723083,0.181159376124036,4.3914057918031e-11,0.2584574615864,FALSE
THAP1,53,5,0.00010124554692598,0.00197325504723083,0.247250101949219,2.6081556351824e-19,0.408267873539379,FALSE
TFE3,1326,26,0.000107746424385547,0.00202818115646645,0.177917675892202,9.65473571002316e-11,0.288176609847145,FALSE
ZNF263,313,11,0.000108311245005015,0.00202818115646645,-0.228345955464166,7.03663879974e-17,0.345428174205214,FALSE
FOXC1,1108,23,0.000120745676407927,0.00219924165211346,0.230413974167153,4.2493824298991e-17,0.298307337828784,FALSE
DBP,1035,22,0.000122052154515197,0.00219924165211346,0.203664433566731,1.22012877128684e-13,0.285473947457424,FALSE
KLF7,374,12,0.000124955112482233,0.00220435877543996,0.189798610710072,5.66315636728768e-12,0.252964112071615,FALSE
