tf,rho,p,fdr
ZNF276,-0.0897245014045189,0.000588057942534295,0.00253863504248768
ZNF224,-0.0895490785411239,0.000602877931821474,0.0025928283985104
DBP,0.0892347116450293,0.000630308198366261,0.00270064636303746
ZBTB18,0.0891060906478913,0.000641861900194671,0.00273988811127874
ZNF225,-0.0890355982142861,0.000648277235377768,0.00275698571476642
ZNF28,-0.08890752691377,0.000660085353762955,0.00279680609149933
ZGPAT,0.088687805131994,0.000680810120468469,0.00287126313639588
ZNF142,0.0886683089072681,0.000682677948513705,0.00287126313639588
ESX1,0.0886380236122025,0.000685588858538981,0.00287294378816335
DLX6,0.0886085414489901,0.000688433641614292,0.00287433608031661
OVOL2,0.0885306576645112,0.000696001585162362,0.00289536659427543
MTF1,0.0882317357524975,0.000725770604650806,0.00300826656420479
ARID5A,0.088069391740031,0.000742429053619207,0.00306370431180233
USF1,0.0880494310604211,0.000744501572273644,0.00306370431180233
ZNF415,-0.0880060572036405,0.00074902360016327,0.00307126522790961
HOXD8,-0.087940827369811,0.00075587226216249,0.00308040643834111
ZNF408,-0.087933565444991,0.000756638294732389,0.00308040643834111
TBX3,0.0878156861505415,0.000769174081016198,0.00312033740667564
ZFP62,-0.0877655062829669,0.000774568647962875,0.00313111849211848
LIN54,0.0866861724908027,0.000899443746618608,0.00362311143004116
ZNF771,-0.0866082746570258,0.000909141472787739,0.00364932577147078
HIC2,0.0865623851262835,0.000914899610384855,0.00365959844153942
TSC22D1,0.0864341109340631,0.000931174800639795,0.00371172115655723
HIVEP3,0.0859336608125722,0.000997266769807102,0.00396136522451154
ZNF585B,-0.0856843671570433,0.00103178452238068,0.00408429582561763
EMX2,0.0856374299128071,0.00103840584396072,0.00409633201893472
KLF7,0.0855857353922385,0.00104574370242073,0.00410745285086386
ZNF562,0.085556849119698,0.00104986485392397,0.00410745285086386
EBF2,0.0855419508303758,0.00105199622841181,0.00410745285086386
ZNF800,0.0854366529897474,0.00106717471533711,0.00415170736531552
NPAS2,0.0854131586906213,0.00107058887479727,0.00415170736531552
GSC2,0.0851584496076021,0.00110825629916102,0.0042832608318926
BARHL2,0.0850459097028051,0.00112528597137137,0.00433443485268971
PBX4,-0.0847859397293192,0.00116555298927029,0.00447447187827253
FOXC2,0.0846228313647506,0.00119149180060227,0.00455875123708696
EBF3,0.0845027933912908,0.00121092040134075,0.00461764313044607
ZNF134,0.0842189927901948,0.00125802292965946,0.00478132302834027
LEF1,0.084059232660089,0.0012852761439824,0.00486872817455584
RREB1,0.0838594852158558,0.00132011644458982,0.00498420202181769
ZNF90,-0.0837654689649431,0.00133681441927763,0.00501958810452085
ZNF707,-0.0837573566493243,0.00133826431108292,0.00501958810452085
KLF16,0.0834500494636469,0.00139426764924012,0.00521255617885848
ZNF124,-0.0833329782604497,0.00141616463016356,0.00527717373585378
E4F1,-0.083238513690231,0.00143406368358133,0.00532652225330208
ZNF234,-0.0830457770881169,0.00147123105662253,0.00544688779539214
MEOX1,0.0829297577673288,0.00149402973287213,0.00551345165937329
HOXA3,0.082771627172592,0.00152562738561739,0.00561195411301058
