tf,EC,FC,HomC,HTC,preHTC,ProC,RegC
NFYA,-0.0324593332667136,-0.112121223983458,-0.164917649852461,-0.111378605915672,-0.0913279724326359,-0.0887139037122455,-0.106446515461345
NFYB,0.0781860777154932,-0.164137280406833,-0.0394970026154082,0.098155877515033,-0.0607546325664699,0.10968826600225,-0.1564329404389
NFYC,0.0182080191826149,0.275541747707292,0.0017970157764962,-0.111137754760833,-0.0143394664260091,0.0650802906080735,-0.0915453449890896
NHLH1,0.234224285737936,0.126661145267157,0.176775265175675,0.254125064109635,0.222060586001253,0.224061278033694,0.185804821759939
NHLH2,-0.0723051337416533,0.00133111955414151,-0.0989673202329201,-0.260694279357857,-0.067097604623107,-0.0292681858540416,-0.0901421584242665
NKX2-1,0.123784487003138,-0.0691158230035012,0.0283773139701566,0.21696173091804,0.0349248683588959,0.101128972029871,0.0989162672429515
NKX2-2,-0.233710747957973,-0.120824697991306,-0.172652435962766,-0.235796291226418,-0.303106585126213,-0.162653132516036,-0.155806817350214
NKX2-3,0.0779268446327096,-0.281173407359429,0.0908351889883271,0.170206500484998,0.0728963918077263,0.0912454060591947,0.0968897527818025
NKX2-5,0.0773360297664721,-0.0287726611318279,-0.0855561750613632,-0.00991403566104358,0.114816668924657,0.129403770549272,-0.0442311239078915
NKX2-8,0.120459995209935,-0.138538827442574,0.0822549241336354,0.267359835068016,0.201142626646578,0.0811054631416783,0.0325220631109907
NKX3-1,-0.0106360475402447,-0.171407241048683,0.00569279062695513,0.0859146175703616,-0.00708123002817371,-0.143469155460633,-0.043856568131624
NKX3-2,0.17824768204486,0.00481250915728083,0.154410410474344,0.123806525505343,0.201081186419092,0.168037635074623,0.0760096658510676
NKX6-1,0.160465081107604,-0.189326158123665,0.138486729528833,0.333431328119112,0.0050200566822785,0.15806181447033,0.0851806919849017
NKX6-2,-0.20022039642285,-0.0286702673199709,-0.123877573839612,-0.0681337810644024,-0.0682006029927343,-0.123358965350711,-0.00116839040656589
NME2,0.148179601473329,-0.0805839299314896,0.173799658004619,0.0472640284976384,0.0906623699682056,0.25043202304973,0.00599009722792034
NOBOX,0.17423262486079,0.107923077697319,0.211407030564111,0.173813246528706,-0.0243425206057334,0.226406071082401,0.0381515805244446
