tf,n_target,n_overlap,enrich_p,enrich_FDR
SOX3,779,5,0.817407388157745,0.967316054139587
SOX4,959,17,0.00487012615316597,0.0366218147738071
SOX5,837,13,0.0339651540181194,0.144163209276907
SOX6,29,1,0.225716049066268,0.485492853284427
SOX7,266,7,0.00932390880529232,0.0581982543075436
SOX8,774,13,0.0195881848743937,0.100573744919602
SOX9,13,1,0.108311337085264,0.316032876257321
SP1,319,8,0.00739673897571926,0.0504563265843707
SP100,581,11,0.0140177242967934,0.0764967240196442
SP110,402,2,0.870423868852193,0.981622180337639
SP140L,605,4,0.780718780115094,0.955880044884506
SP3,75,1,0.484299399842306,0.734028613647929
SP4,57,1,0.395349826242705,0.657768439132026
SP6,139,2,0.345177359200593,0.614092608781846
SP8,353,4,0.375046155801317,0.640731804633735
SPI1,102,1,0.59389301040603,0.830406771504772
SPIB,57,2,0.0894426585775108,0.27733032123871
SPIC,398,1,0.970931661262136,0.988771722429438
SPZ1,390,5,0.258756784069442,0.528816566514374
SREBF1,23,2,0.0171856771526069,0.0896848179275386
SREBF2,16,2,0.00848572353514132,0.0541632976849357
SRY,630,11,0.0238575795561062,0.113227133976778
STAT1,287,1,0.921557963934092,0.988771722429438
STAT2,39,1,0.291142570517928,0.55377736318103
STAT3,75,2,0.140743882076884,0.365206612796879
STAT4,10,1,0.0844018933899559,0.266900027110622
STAT5A,21,1,0.169074943927838,0.404730448078101
STAT5B,16,1,0.131599290625294,0.351053973595408
TBP,45,1,0.327725850472159,0.593886503227537
TBPL1,521,2,0.94499518143225,0.988771722429438
TBR1,516,3,0.833905396706743,0.973569258991369
