donor,predicted_state,gene,mean_log_expression,z
116,EC,SPI1,0.00223943744524007,-0.334729763001083
116,EC,CLDN10,0,-0.332169031798302
116,EC,LY6D,0.00392182938860422,-0.358389437673186
116,EC,TNFAIP6,0.0451128154336432,-0.486477117355805
116,EC,FAM159B,0.00128653064374897,-0.44569978560591
116,EC,PRG4,0.184496569124091,-0.876677659165978
116,EC,F5,0.00734058374851993,-0.783547236977921
116,EC,SOX11,0.0010649872323813,-0.455121545829135
116,EC,AMTN,0.00667494837274509,-0.674720698421323
116,EC,DEFB1,0.00276581448154192,-0.551454408375277
116,FC,CCDC160,0,-0.543696547439079
116,FC,ANKRD1,0,-0.304245898766611
116,FC,SPINK1,0.000476722921800549,-0.167733199231968
116,FC,CLDN4,0.00135658651582491,-0.480810704964288
116,FC,TMEM156,0.00109329278251773,-0.316417154750541
116,FC,FAM170B,0,-0.352126787991565
116,FC,MTBP,0.00772535746459927,0.708750404885718
116,FC,ROBO4,0.0319317141513073,4.30849821790443
116,FC,TEK,0.0195421675166582,4.33012929030188
116,FC,EBF2,0.0679100563402369,4.35751253399632
116,FC,NR2F2-AS1,0.0186871512735835,4.35664274160066
116,FC,CRYBB1,0.00151790889033883,2.49498466356117
116,FC,CRIP3,0.000638674239711772,0.0239937281355233
116,FC,ADAD2,0,-0.320872173109454
116,FC,ARHGEF15,0.0222677785180739,4.30734121712093
116,FC,ROPN1,0,-0.505733199781978
116,FC,PLA2G10,0,-0.393328994646316
116,FC,HIST1H2AH,0.004883809969427,1.28696824275257
116,FC,HIST1H2BE,0,-0.248716416393874
116,FC,RAPGEF4-AS1,0,-0.218217890235992
116,FC,DRAXIN,0.000558205859103446,-0.439556445770167
116,FC,DHH,0,-0.276740729461188
116,FC,CCL18,0.000557772151362206,-0.171274291620595
116,FC,LCK,0,-0.374092873287016
116,FC,HBA2,0.000666316401624234,-0.307455286386372
116,FC,HBA1,0,-0.583010545289258
116,FC,DMP1,0,-0.344328454429059
116,FC,BNC1,0,-0.322509438851439
116,FC,SLA2,0,-0.587182523459391
116,FC,LCE1E,0,0
116,FC,GDNF,0,-0.540338870852718
116,FC,MMP1,0.00279438075815301,0.0758291565645303
116,FC,S100A2,0.111721932809686,0.896393946185069
116,FC,LRRC38,0,-0.378241867862281
116,FC,WNT16,0.00472758351831038,-0.422115971453461
116,FC,KRTAP2-3,0,-0.218217890235992
116,FC,TAC1,0.0198545195866153,-0.750034656852948
116,FC,GCSAM,0,-0.218217890235992
116,FC,DCLK1,0.0605548294714256,3.9239400838761
116,FC,TCN1,0,0
116,FC,RETN,0,0
116,FC,PGLYRP1,0,0
116,FC,PADI4,0,0
116,FC,MS4A3,0,0
116,FC,MNDA,0.00435463825703078,0.0434724172534167
