gene,F,P.Value,adj.P.Val
MCM4,2.04510171466489,0.0826789963117058,0.275783151210693
NELFE,2.04409642933453,0.0828188412005656,0.276211470797744
CCL13,2.04395640155836,0.082838338867917,0.276238354090404
TACC3,2.04354339864353,0.082895872284071,0.276392049044336
LINC00592,2.04329040704039,0.0829311347170735,0.27644560561597
HOXA-AS2,2.04326392815855,0.0829348262449103,0.27644560561597
SLC18A2,2.04315935405935,0.0829494069220016,0.276456054282752
LINC01193,2.04288852239231,0.0829871804708926,0.27650950684833
KMT2D,2.04282861537217,0.0829955381329343,0.27650950684833
SCAMP1,2.04279814157832,0.0829997898666994,0.27650950684833
PRR5,2.0425950690088,0.0830281282226393,0.276544055808527
LINC00294,2.0425597364906,0.0830330597740835,0.276544055808527
ADAM8,2.04191697060281,0.0831228244070086,0.276798266603252
ZSCAN16-AS1,2.04184910527364,0.0831323076197568,0.276798266603252
MRPL33,2.04156054684812,0.0831726414297749,0.276894391240986
C10orf71,2.04138964355792,0.0831965388404459,0.276935777647917
PPP1R13B,2.04085765413561,0.0832709701650628,0.27714534138029
SEL1L,2.04022987540705,0.0833588877301383,0.27732146930396
SEMA4C,2.04022400743641,0.0833597099432667,0.27732146930396
ZC3H18,2.04010064673335,0.083376996945763,0.27732146930396
LINC00458,2.04001116237411,0.0833895389339193,0.27732146930396
FAM212A,2.0399229644929,0.0834019024266976,0.27732146930396
SSNA1,2.03990639505354,0.0834042253156256,0.27732146930396
FAM122C,2.03990612956231,0.0834042625356669,0.27732146930396
BCL2A1,2.03926364154836,0.0834943827907141,0.277582908127201
LDLRAD4-AS1,2.03877687466972,0.0835627241600063,0.277743123943779
LRRC41,2.03875659295359,0.0835655728770521,0.277743123943779
MIEF1,2.03858198045451,0.083590102444272,0.277786426023184
ZNF514,2.03838857161662,0.0836172807853299,0.277811619641504
DDR2,2.03836432999171,0.0836206878977242,0.277811619641504
GGT7,2.03809682827799,0.0836582937988052,0.277898331745639
ZBTB42,2.03787538071992,0.0836894378987472,0.277963557971458
PVRL3-AS1,2.03741264915313,0.083754552672131,0.278141579910625
IRAK1,2.03720004404249,0.0837844867873726,0.278202737060133
PHF6,2.03648585793215,0.0838851189231516,0.278479575524633
PON3,2.03644471315731,0.0838909200313514,0.278479575524633
STRIP2,2.03621535960737,0.0839232644087283,0.278548660885532
TMEM144,2.03608702292935,0.0839413683216722,0.27857046840799
PMS2P3,2.03523608637872,0.0840615035010519,0.278912330518065
CDK11B,2.03519380804384,0.0840674767594715,0.278912330518065
YKT6,2.03402766618043,0.0842323986766746,0.279414938122629
VAV1,2.03395909887885,0.0842421057180882,0.279414938122629
BRICD5,2.03377280543749,0.0842684847472212,0.279464054936102
RAP1GAP,2.03353379417469,0.0843023404755049,0.279537950234057
LINC00662,2.03344754906675,0.0843145602987616,0.279540092641865
CIZ1,2.03311934762358,0.0843610781446847,0.279635978648121
LCP1,2.03308014170101,0.084366636708022,0.279635978648121
LAPTM5,2.03250549799516,0.0844481502398208,0.279867751473984
EPS8,2.03226322374014,0.0844825401698109,0.279943310841191
CKLF,2.0321066334993,0.0845047748947046,0.279978577233443
OXCT1,2.03191741078322,0.084531650877689,0.280029209113815
ITGB1BP1,2.03116162886555,0.0846390811054615,0.280346643710945
MAMLD1,2.03068068229514,0.0847075148485542,0.280483371787823
PPME1,2.03062123073294,0.0847159779684973,0.280483371787823
MIF4GD,2.03055935532053,0.084724787013639,0.280483371787823
LIG4,2.03054513536636,0.084726811599551,0.280483371787823
IL10RB,2.03023767997398,0.0847705976197575,0.280555811114155
