dataset,layer,programme,delta,t,p,p_adj_within_layer
GSE57218(Pres-OA),L2_ALR_ref_preHTC,FC,1.23648717933474,3.17124113623373,0.00333835891682796,0.00400603070019355
GSE57218(Pres-OA),L2_ALR_ref_preHTC,HomC,1.34393024868091,4.10477335651695,0.000260684770933806,0.000521369541867613
GSE57218(Pres-OA),L2_ALR_ref_preHTC,HTC,1.55250090521642,4.48821140141617,8.73356770987584e-05,0.000308815862960116
GSE57218(Pres-OA),L2_ALR_ref_preHTC,ProC,0.758608239005995,2.50853608145394,0.0173850076661156,0.0173850076661156
GSE57218(Pres-OA),L2_ALR_ref_preHTC,RegC,1.36260442068737,3.21365276858992,0.00298764888532515,0.00400603070019355
GSE57218(Pres-OA),L2_ALR_ref_ProC,EC,1.04314437673311,3.28558378914894,0.00247186677412824,0.00494373354825647
GSE57218(Pres-OA),L2_ALR_ref_ProC,FC,0.477878940328748,2.92092888320703,0.00634951028540789,0.0087033263339432
GSE57218(Pres-OA),L2_ALR_ref_ProC,HomC,0.585322009674916,6.82830780908687,1.01021888489035e-07,3.03065665467105e-07
GSE57218(Pres-OA),L2_ALR_ref_ProC,HTC,0.793892666210422,7.9124821080068,4.97632610526054e-09,2.98579566315633e-08
GSE57218(Pres-OA),L2_ALR_ref_ProC,preHTC,-0.758608239005995,-2.50853608145394,0.0173850076661156,0.0173850076661156
GSE57218(Pres-OA),L2_ALR_ref_ProC,RegC,0.603996181681375,2.86803264516583,0.00725277194495266,0.0087033263339432
GSE57218(Pres-OA),L2_ALR_ref_RegC,EC,0.43914819505174,1.28619093315528,0.207605102010077,0.343522892395713
GSE57218(Pres-OA),L2_ALR_ref_RegC,FC,-0.126117241352627,-1.08444845120592,0.286269076996427,0.343522892395713
GSE57218(Pres-OA),L2_ALR_ref_RegC,HomC,-0.0186741720064585,-0.116799308117031,0.907749073237598,0.907749073237598
GSE57218(Pres-OA),L2_ALR_ref_RegC,HTC,0.189896484529047,1.13458897899622,0.26497535897004,0.343522892395713
GSE57218(Pres-OA),L2_ALR_ref_RegC,preHTC,-1.36260442068737,-3.21365276858992,0.00298764888532515,0.0179258933119509
GSE57218(Pres-OA),L2_ALR_ref_RegC,ProC,-0.603996181681375,-2.86803264516583,0.00725277194495266,0.021758315834858
GSE57218(Pres-OA),L3_logratio_HomC_over_preHTC,log(HomC/preHTC),1.34393024868091,4.10477335651695,0.000260684770933806,0.000260684770933806
GSE57218(Pres-OA),L4_unclosed_gs_score,EC,0.0716603185570444,2.57132144945618,0.0149825345210759,0.0199767126947678
GSE57218(Pres-OA),L4_unclosed_gs_score,FC,0.0421447138107658,0.55745051345032,0.581098524506093,0.581098524506093
GSE57218(Pres-OA),L4_unclosed_gs_score,HomC,0.0891506399981831,3.06467786559388,0.00440084646845219,0.0070413543495235
GSE57218(Pres-OA),L4_unclosed_gs_score,HTC,0.191993901938656,5.27951466824967,8.8107973369436e-06,1.76215946738872e-05
GSE57218(Pres-OA),L4_unclosed_gs_score,preHTC,-0.461305088619912,-8.64724367046195,6.99702259825713e-10,4.6163630731278e-09
GSE57218(Pres-OA),L4_unclosed_gs_score,ProC,-0.25757652732909,-7.48627957332608,1.60031033665423e-08,4.26749423107794e-08
GSE57218(Pres-OA),L4_unclosed_gs_score,RegC,0.0572376096619378,0.616439134949562,0.541965622514877,0.581098524506093
GSE57218(Pres-OA),L4_unclosed_gs_score,HomC_minus_preHTC,0.550455728618095,8.45737900136406,1.15409076828195e-09,4.6163630731278e-09
